src_id,relation,dst_id
Th_POL-00005,event-target-organization-relatedOrganization,ORG-00337
Th_POL-00011,event-target-organization-relatedOrganization,ORG-00049
Th_POL-00012,event-target-organization-relatedOrganization,ORG-00049
Th_MIL-00002,event-target-organization-relatedOrganization,ORG-00357
Th_MIL-00004,event-target-organization-relatedOrganization,ORG-00087
Th_POL-00016,event-target-organization-relatedOrganization,ORG-00048
Th_POL-00017,event-target-organization-subjectOrganization,ORG-00073
Th_POL-00018,event-target-organization-subjectOrganization,ORG-00049
Th_MIL-00013,event-target-organization-subjectOrganization,ORG-00048
Th_MIL-00014,event-target-organization-relatedOrganization,ORG-00350
Th_POL-00020,event-target-person-relatedPerson,PER-00183
Th_POL-00020,event-target-organization-subjectOrganization,ORG-00049
Th_POL-00021,event-target-person-subjectPerson,PER-00183
Th_POL-00021,event-target-organization-subjectOrganization,ORG-00049
Th_POL-00025,event-target-person-subjectPerson,PER-00183
Th_POL-00025,event-target-organization-relatedOrganization,ORG-00048
Th_POL-00027,event-target-organization-relatedOrganization,ORG-00049
Th_MIL-00016,event-target-person-relatedPerson,PER-00183
Th_MIL-00017,event-target-person-subjectPerson,PER-00183
Th_MIL-00018,event-target-person-subjectPerson,PER-00183
Th_MIL-00019,event-target-person-relatedPerson,PER-00183
Th_MIL-00019,event-target-organization-subjectOrganization,ORG-00025
Th_ECON-00005,event-target-person-subjectPerson,PER-00183
Th_ECON-00005,event-target-organization-subjectOrganization,ORG-00337
Th_ECON-00006,event-target-person-relatedPerson,PER-00183
Th_ECON-00007,event-target-organization-subjectOrganization,ORG-00337
Th_ECON-00008,event-target-organization-relatedOrganization,ORG-00048
Th_ECON-00009,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00032,event-target-person-relatedPerson,PER-00183
Th_POL-00033,event-target-person-subjectPerson,PER-00183
Th_POL-00040,event-target-person-relatedPerson,PER-00183
Th_POL-00040,event-target-organization-relatedOrganization,ORG-00305
Th_POL-00041,event-target-organization-relatedOrganization,ORG-00072
Th_POL-00042,event-target-person-relatedPerson,PER-00183
Th_POL-00042,event-target-organization-relatedOrganization,ORG-00305
Th_POL-00047,event-target-organization-subjectOrganization,ORG-00305
Th_POL-00048,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00049,event-target-organization-relatedOrganization,ORG-00025
Th_POL-00051,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00057,event-target-person-relatedPerson,PER-00183
Th_POL-00058,event-target-person-subjectPerson,PER-00183
Th_POL-00060,event-target-organization-subjectOrganization,ORG-00030
Th_POL-00060,event-target-person-relatedPerson,PER-00183
Th_POL-00061,event-target-person-relatedPerson,PER-00183
Th_POL-00063,event-target-person-subjectPerson,PER-00235
Th_POL-00064,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00071,event-target-organization-subjectOrganization,ORG-00049
Th_POL-00073,event-target-organization-subjectOrganization,ORG-00049
Th_POL-00075,event-target-organization-subjectOrganization,ORG-00049
Th_POL-00076,event-target-organization-subjectOrganization,ORG-00049
Th_POL-00077,event-target-organization-subjectOrganization,ORG-00049
Th_POL-00078,event-target-organization-subjectOrganization,ORG-00049
Th_POL-00079,event-target-person-subjectPerson,PER-00032
Th_POL-00079,event-target-person-relatedPerson,PER-00183
Th_POL-00080,event-target-person-subjectPerson,PER-00183
Th_POL-00081,event-target-person-subjectPerson,PER-00032
Th_POL-00082,event-target-person-subjectPerson,PER-00183
Th_POL-00083,event-target-person-subjectPerson,PER-00032
Th_POL-00084,event-target-person-relatedPerson,PER-00183
Th_POL-00085,event-target-person-subjectPerson,PER-00183
Th_POL-00085,event-target-organization-relatedOrganization,ORG-00030
Th_POL-00091,event-target-person-subjectPerson,PER-00180
Th_POL-00091,event-target-organization-subjectOrganization,ORG-00057
Th_POL-00091,event-target-organization-relatedOrganization,ORG-00048
Th_POL-00092,event-target-organization-relatedOrganization,ORG-00048
Th_POL-00093,event-target-organization-relatedOrganization,ORG-00048
Th_POL-00094,event-target-organization-relatedOrganization,ORG-00048
Th_POL-00095,event-target-organization-subjectOrganization,ORG-00048
Th_POL-00096,event-target-organization-subjectOrganization,ORG-00025
Th_POL-00096,event-target-person-subjectPerson,PER-00032
Th_POL-00097,event-target-organization-subjectOrganization,ORG-00350
Th_POL-00100,event-target-person-subjectPerson,PER-00192
Th_POL-00103,event-target-person-subjectPerson,PER-00180
Th_POL-00103,event-target-organization-subjectOrganization,ORG-00057
Th_POL-00104,event-target-organization-subjectOrganization,ORG-00093
Th_POL-00104,event-target-organization-relatedOrganization,ORG-00137
Th_POL-00105,event-target-organization-relatedOrganization,ORG-00049
Th_POL-00106,event-target-organization-subjectOrganization,ORG-00073
Th_ECON-00020,event-target-organization-subjectOrganization,ORG-00293
Th_ECON-00020,event-target-organization-relatedOrganization,ORG-00331
Th_ECON-00021,event-target-organization-subjectOrganization,ORG-00144
Th_ECON-00021,event-target-organization-relatedOrganization,ORG-00293
Th_POL-00116,event-target-person-subjectPerson,PER-00183
Th_POL-00116,event-target-person-relatedPerson,PER-00032
Th_POL-00117,event-target-person-subjectPerson,PER-00032
